"Gen_1"	"Gen_2"	"Gen_3"	"Gen_4"	"Gen_5"	"Gen_6"	"Gen_7"	"Gen_8"	"Gen_9"	"Gen_10"
"1"	360	300	252	216	180	144	120	96	60	24
"2"	360	300	252	216	180	144	120	96	60	24
"3"	360	300	252	216	180	144	120	96	60	24
"4"	360	300	252	216	180	144	120	96	60	24
"5"	360	300	252	216	180	144	120	96	60	24
"6"	360	300	252	216	180	144	120	96	60	24
"7"	360	300	252	216	180	144	120	96	60	24
"8"	360	300	252	216	180	144	120	96	60	24
"9"	360	300	252	216	180	144	120	96	60	24
"10"	360	300	252	216	180	144	120	96	60	24
"11"	360	300	252	216	180	144	120	96	60	24
"12"	360	300	252	216	180	144	120	96	60	24
"13"	360	300	252	216	180	144	120	96	60	24
"14"	360	300	252	216	180	144	120	96	60	24
"15"	360	300	252	216	180	144	120	96	60	24
"16"	360	300	252	216	180	144	120	96	60	24
"17"	360	300	252	216	180	144	120	96	60	24
"18"	360	300	252	216	180	144	120	96	60	24
"19"	360	300	252	216	180	144	120	96	60	24
"20"	360	300	252	216	180	144	120	96	60	24
"21"	360	300	252	216	180	144	120	96	60	24
"22"	360	300	252	216	180	144	120	96	60	24
"23"	360	300	252	216	180	144	120	96	60	24
"24"	360	300	252	216	180	144	120	96	60	24
"25"	360	300	252	216	180	144	120	96	60	24
"26"	360	300	252	216	180	144	120	96	60	24
"27"	360	300	252	216	180	144	120	96	60	24
"28"	360	300	252	216	180	144	120	96	60	24
"29"	360	300	252	216	180	144	120	96	60	24
"30"	360	300	252	216	180	144	120	96	60	24
"31"	360	300	252	216	180	144	120	96	60	24
"32"	360	300	252	216	180	144	120	96	60	24
"33"	360	300	252	216	180	144	120	96	60	24
"34"	360	300	252	216	180	144	120	96	60	24
"35"	360	300	252	216	180	144	120	96	60	24
"36"	360	300	252	216	180	144	120	96	60	24
"37"	360	300	252	216	180	144	120	96	60	24
"38"	360	300	252	216	180	144	120	96	60	24
"39"	360	300	252	216	180	144	120	96	60	24
"40"	360	300	252	216	180	144	120	96	60	24
"41"	360	300	252	216	180	144	120	96	60	24
"42"	360	300	252	216	180	144	120	96	60	24
"43"	360	300	252	216	180	144	120	96	60	24
"44"	360	300	252	216	180	144	120	96	60	24
"45"	360	300	252	216	180	144	120	96	60	24
"46"	360	300	252	216	180	144	120	96	60	24
"47"	360	300	252	216	180	144	120	96	60	24
"48"	360	300	252	216	180	144	120	96	60	24
"49"	360	300	252	216	180	144	120	96	60	24
"50"	360	300	252	216	180	144	120	96	60	24
"51"	360	300	252	216	180	144	120	96	60	24
"52"	360	300	252	216	180	144	120	96	60	24
"53"	360	300	252	216	180	144	120	96	60	24
"54"	360	300	252	216	180	144	120	96	60	24
"55"	360	300	252	216	180	144	120	96	60	24
"56"	360	300	252	216	180	144	120	96	60	24
"57"	360	300	252	216	180	144	120	96	60	24
"58"	360	300	252	216	180	144	120	96	60	24
"59"	360	300	252	216	180	144	120	96	60	24
"60"	360	300	252	216	180	144	120	96	60	24
"61"	360	300	252	216	180	144	120	96	60	24
"62"	360	300	252	216	180	144	120	96	60	24
"63"	360	300	252	216	180	144	120	96	60	24
"64"	360	300	252	216	180	144	120	96	60	24
"65"	360	300	252	216	180	144	120	96	60	24
"66"	360	300	252	216	180	144	120	96	60	24
"67"	360	300	252	216	180	144	120	96	60	24
"68"	360	300	252	216	180	144	120	96	60	24
"69"	360	300	252	216	180	144	120	96	60	24
"70"	360	300	252	216	180	144	120	96	60	24
"71"	360	300	252	216	180	144	120	96	60	24
"72"	360	300	252	216	180	144	120	96	60	24
"73"	360	300	252	216	180	144	120	96	60	24
"74"	360	300	252	216	180	144	120	96	60	24
"75"	360	300	252	216	180	144	120	96	60	24
"76"	360	300	252	216	180	144	120	96	60	24
"77"	360	300	252	216	180	144	120	96	60	24
"78"	360	300	252	216	180	144	120	96	60	24
"79"	360	300	252	216	180	144	120	96	60	24
"80"	360	300	252	216	180	144	120	96	60	24
"81"	360	300	252	216	180	144	120	96	60	24
"82"	360	300	252	216	180	144	120	96	60	24
"83"	360	300	252	216	180	144	120	96	60	24
"84"	360	300	252	216	180	144	120	96	60	24
"85"	360	300	252	216	180	144	120	96	60	24
"86"	360	300	252	216	180	144	120	96	60	24
"87"	360	300	252	216	180	144	120	96	60	24
"88"	360	300	252	216	180	144	120	96	60	24
"89"	360	300	252	216	180	144	120	96	60	24
"90"	360	300	252	216	180	144	120	96	60	24
"91"	360	300	252	216	180	144	120	96	60	24
"92"	360	300	252	216	180	144	120	96	60	24
"93"	360	300	252	216	180	144	120	96	60	24
"94"	360	300	252	216	180	144	120	96	60	24
"95"	360	300	252	216	180	144	120	96	60	24
"96"	360	300	252	216	180	144	120	96	60	24
"97"	360	300	252	216	180	144	120	96	60	24
"98"	360	300	252	216	180	144	120	96	60	24
"99"	360	300	252	216	180	144	120	96	60	24
"100"	360	300	252	216	180	144	120	96	60	24
