x	y
0.0	11.599
0.5	19.022
1.0	17.360
1.5	19.015
2.0	4.351
2.5	16.760
3.0	16.941
3.5	29.655
4.0	26.985
4.5	29.485
5.0	18.453
5.5	20.992
6.0	29.341
6.5	24.057
7.0	35.626
7.5	15.516
8.0	43.798
8.5	29.688
9.0	48.334
9.5	28.969
10.0	48.914
10.5	31.384
11.0	37.017
11.5	37.032
12.0	41.115
12.5	55.971
13.0	49.112
13.5	52.330
14.0	51.486
14.5	50.531
15.0	65.647
15.5	62.049
16.0	55.012
16.5	54.141
17.0	63.413
17.5	55.807
18.0	73.772
18.5	76.776
19.0	67.710
19.5	67.350
20.0	68.182
20.5	65.064
21.0	65.143
21.5	64.864
22.0	82.264
22.5	94.490
23.0	64.860
23.5	77.142
24.0	83.121
24.5	82.212
25.0	90.267
25.5	97.302
26.0	80.749
26.5	94.555
27.0	98.919
27.5	108.880
28.0	92.869
28.5	90.362
29.0	102.920
29.5	104.359
30.0	81.743


