"Gen_1"	"Gen_2"	"Gen_3"	"Gen_4"	"Gen_5"	"Gen_6"	"Gen_7"	"Gen_8"	"Gen_9"	"Gen_10"
"1"	235.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	99.95	NA	86.75	NA	NA	NA	NA	NA	NA	NA
"3"	198.5	37.24	NA	NA	NA	NA	NA	NA	NA	NA
"4"	91.52	NA	NA	NA	NA	73.06	NA	NA	NA	NA
"5"	NA	NA	240.88	NA	NA	NA	NA	NA	NA	NA
"6"	NA	106.48	171.3	NA	NA	133.5	NA	NA	NA	NA
"7"	NA	NA	NA	NA	176.76	NA	NA	NA	NA	NA
"8"	NA	139.45	NA	NA	NA	NA	NA	NA	NA	NA
"9"	229.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	8.83	NA	249.6	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	218.68	NA	NA	NA	NA	NA	NA	NA
"13"	221.77	230.38	NA	58.87	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	197.39	53.36	NA	NA	NA	NA	NA	NA	NA
"16"	NA	103.66	NA	113.5	NA	NA	NA	NA	NA	NA
"17"	NA	25.74	NA	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	76.54	NA	NA	NA
"20"	39.22	NA	NA	122.5	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	28.34	NA	NA	NA	NA	103.33	NA	NA	NA	NA
"24"	248.52	291.15	NA	NA	NA	NA	NA	NA	NA	NA
"25"	311.69	268.39	84.16	NA	NA	NA	NA	NA	NA	NA
"26"	NA	193.03	208.72	52.58	NA	NA	51.93	NA	NA	NA
"27"	257.19	68.35	77.25	NA	47.52	NA	69.74	NA	NA	NA
"28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	NA	NA	NA	NA	NA	75.79	33.52	NA	NA	NA
"30"	NA	214.58	NA	NA	NA	NA	NA	NA	NA	NA
"31"	169.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	NA	NA	NA	135.23	NA	NA	NA	NA	NA	NA
"33"	NA	182.62	NA	203.23	NA	NA	NA	NA	NA	NA
"34"	273.65	NA	217.92	NA	NA	NA	NA	NA	NA	NA
"35"	NA	67.97	191.59	NA	NA	NA	NA	NA	NA	NA
"36"	NA	130.47	NA	NA	NA	NA	NA	NA	NA	NA
"37"	105.67	279.08	17.07	53.67	NA	NA	27.57	NA	NA	NA
"38"	76.97	NA	69.23	207.31	159.08	88.86	NA	NA	NA	NA
"39"	340.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	NA	186.78	NA	114.51	NA	NA	NA	NA	NA	NA
"41"	179.47	NA	54.35	NA	NA	NA	NA	NA	NA	NA
"42"	NA	282.35	50.19	NA	NA	NA	NA	NA	NA	NA
"43"	58.52	NA	76.99	93.7	NA	NA	NA	NA	NA	NA
"44"	187.45	NA	158.78	142.31	NA	NA	NA	NA	NA	NA
