Offset	Event
14.167	0
18.167	0
28.000	0
30.167	0
33.167	0
27.833	0
34.833	0
44.667	0
25.167	0
48.833	0
27.667	0
58.500	0
34.833	0
14.167	0
28.167	0
16.833	0
33.333	0
26.500	0
22.000	0
17.167	0
18.667	0
12.667	0
14.667	0
29.667	0
22.667	0
23.000	0
26.833	0
3.333	0
23.500	0
57.333	0
27.667	0
17.500	0
70.000	0
94.833	1
101.833	1
88.167	1
65.500	1
77.667	1
75.667	1
91.500	1
59.667	1
27.333	1
67.667	1
70.333	1
33.167	1
48.833	1
81.333	1
75.000	1
61.500	1
45.167	1
7.667	1
69.500	1
75.333	1
50.833	1
76.333	1
98.333	1
30.167	1
130.500	1
52.167	1
62.667	1
33.000	1
89.500	1
111.000	1
40.167	1
66.667	1
26.000	1
53.000	1
71.667	1
44.833	1
62.833	1
63.667	1
25.000	1
38.833	1
26.500	1
85.333	1
57.667	1
37.167	1
48.167	1
59.667	1
48.000	1
42.667	1
44.167	1
95.500	1
94.667	1
47.167	1
43.167	1
40.833	1
70.167	1
76.000	1
45.333	1
51.500	1
35.833	1
49.667	1
45.833	1
24.500	1
37.833	1
54.333	1
31.667	1
51.000	1
17.500	1
71.333	1
24.333	1
33.167	1
30.000	1
29.000	1
47.500	1
54.833	1
16.833	1
45.333	1
52.000	1
27.333	1
